skill_id,tasks,base_no_skill,base_with_skill,grpo_with_skill,skill_lift,grpo_lift_over_base_skill
adaptive-hint-sequence-designer,3,0.4666666666666666,0.9444333333333333,1.0,0.4777666666666667,0.05556666666666665
backwards-design-unit-planner,3,0.7333333333333334,1.0,1.0,0.26666666666666666,0.0
differentiation-adapter,3,0.6666666666666666,1.0,0.9333333333333332,0.3333333333333333,-0.06666666666666665
emergent-project-design-scaffold,3,0.7085333333333333,1.0,1.0,0.2914666666666667,0.0
hinge-question-designer,3,0.6,0.7333333333333334,0.6666666666666666,0.13333333333333333,-0.06666666666666667
lesson-builder,3,0.5333333333333333,0.6666666666666666,0.8000000000000002,0.1333333333333333,0.1333333333333334
motivation-diagnostic-task-redesign,3,0.8000000000000002,0.9333333333333332,1.0,0.1333333333333333,0.06666666666666665
project-brief-designer,3,0.7333333333333334,1.0,1.0,0.26666666666666666,0.0
retrieval-practice-generator,3,0.6233333333333334,0.8666666666666667,1.0,0.24333333333333332,0.13333333333333333
ruler-emotional-literacy-sequence,3,0.8000000000000002,0.8000000000000002,0.8666666666666667,0.0,0.06666666666666665
self-efficacy-builder-sequence,3,0.61,0.9433333333333334,0.9433333333333334,0.3333333333333333,0.0
self-explanation-prompt-designer,3,0.8666666666666667,1.0,1.0,0.1333333333333333,0.0
socratic-questioning-sequence-generator,3,0.20000000000000004,1.0,1.0,0.8000000000000002,0.0
spaced-practice-scheduler,3,0.6666666666666666,0.8000000000000002,0.9333333333333332,0.1333333333333334,0.1333333333333333
